App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Paper flowers instructions§ART_AND_DESIGN§4.4§167§5.6M§50,000+§Free§0§Everyone§Art & Design§March 26, 2017§1.0§2.3 and up
Overstock – Home Decor, Furniture Shopping§SHOPPING§4.4§25719§Varies with device§1,000,000+§Free§0§Teen§Shopping§August 6, 2018§Varies with device§Varies with device
eBay: Buy & Sell this Summer - Discover Deals Now!§SHOPPING§4.4§2788923§Varies with device§100,000,000+§Free§0§Teen§Shopping§July 30, 2018§Varies with device§Varies with device
eBay: Buy & Sell this Summer - Discover Deals Now!§SHOPPING§4.4§2788923§Varies with device§100,000,000+§Free§0§Teen§Shopping§July 30, 2018§Varies with device§Varies with device
Savory - Deals,Freebies,Sales§SHOPPING§4.4§2375§1.1M§100,000+§Free§0§Everyone§Shopping§November 2, 2016§3.1§2.3.3 and up
REI – Shop Outdoor Gear§SHOPPING§4.4§3878§8.8M§100,000+§Free§0§Everyone§Shopping§May 8, 2018§5.6.8§4.1 and up
B612 - Beauty & Filter Camera§PHOTOGRAPHY§4.4§5282578§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 30, 2018§7.6.5§4.3 and up
Huji Cam§PHOTOGRAPHY§4.4§40289§19M§5,000,000+§Free§0§Everyone§Photography§July 11, 2018§2.2§5.0 and up
Makeup Photo Editor: Makeup Camera & Makeup Editor§PHOTOGRAPHY§4.4§10525§25M§1,000,000+§Free§0§Everyone§Photography§July 27, 2018§8.9.9§4.0 and up
Garden Photo Frames - Garden Photo Editor§PHOTOGRAPHY§4.4§1864§13M§500,000+§Free§0§Everyone§Photography§May 3, 2018§22.0§4.0.3 and up
Camera360 Lite - Selfie Camera§PHOTOGRAPHY§4.4§221858§Varies with device§10,000,000+§Free§0§Everyone§Photography§August 1, 2018§Varies with device§4.1 and up
BeautyPlus - Easy Photo Editor & Selfie Camera§PHOTOGRAPHY§4.4§3158047§53M§100,000,000+§Free§0§Everyone§Photography§July 31, 2018§6.9.031§4.1 and up
Pencil Photo Sketch-Sketching Drawing Photo Editor§PHOTOGRAPHY§4.4§16523§Varies with device§1,000,000+§Free§0§Everyone§Photography§July 30, 2018§1.2.31§4.1 and up
Silent Camera [High Quality]§PHOTOGRAPHY§4.4§47090§Varies with device§5,000,000+§Free§0§Everyone§Photography§July 28, 2018§Varies with device§Varies with device
Candy selfie - photo editor, live filter camera§PHOTOGRAPHY§4.4§53421§26M§10,000,000+§Free§0§Everyone§Photography§August 6, 2018§2.74.685§4.0.3 and up
Blur Image Background Editor (Blur Photo Editor)§PHOTOGRAPHY§4.4§62421§9.6M§5,000,000+§Free§0§Everyone§Photography§July 28, 2018§2.4§4.1 and up
Muzy - Share photos & collages§PHOTOGRAPHY§4.4§70189§13M§5,000,000+§Free§0§Teen§Photography§August 11, 2015§4.0.10§4.0 and up
B612 - Beauty & Filter Camera§PHOTOGRAPHY§4.4§5282558§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 30, 2018§7.6.5§4.3 and up
BeautyPlus - Easy Photo Editor & Selfie Camera§PHOTOGRAPHY§4.4§3157936§53M§100,000,000+§Free§0§Everyone§Photography§July 31, 2018§6.9.031§4.1 and up
Cymera Camera- Photo Editor, Filter,Collage,Layout§PHOTOGRAPHY§4.4§2418135§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 12, 2018§Varies with device§Varies with device
Candy Camera - selfie, beauty camera, photo editor§PHOTOGRAPHY§4.4§3368649§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 16, 2018§4.47§4.0.3 and up
Sweet Camera§PHOTOGRAPHY§4.4§71898§23M§5,000,000+§Free§0§Everyone§Photography§October 10, 2017§6.1.7.100920§4.0.3 and up
MIX by Camera360§PHOTOGRAPHY§4.4§111066§74M§5,000,000+§Free§0§Everyone§Photography§August 3, 2018§4.8.7§4.0.3 and up
Facetune - For Free§PHOTOGRAPHY§4.4§49553§48M§1,000,000+§Paid§$5.99§Everyone§Photography§July 25, 2018§1.3.1§4.1 and up
Muzy - Share photos & collages§PHOTOGRAPHY§4.4§70189§13M§5,000,000+§Free§0§Teen§Photography§August 11, 2015§4.0.10§4.0 and up
Square InPic - Photo Editor & Collage Maker§PHOTOGRAPHY§4.4§635846§14M§50,000,000+§Free§0§Everyone§Photography§May 23, 2018§4.2.14§4.0 and up
Cymera Camera- Photo Editor, Filter,Collage,Layout§PHOTOGRAPHY§4.4§2418135§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 12, 2018§Varies with device§Varies with device
Candy Camera - selfie, beauty camera, photo editor§PHOTOGRAPHY§4.4§3368646§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 16, 2018§4.47§4.0.3 and up
VSCO§PHOTOGRAPHY§4.4§753115§Varies with device§50,000,000+§Free§0§Everyone§Photography§August 3, 2018§71§4.4 and up
Facetune - For Free§PHOTOGRAPHY§4.4§49553§48M§1,000,000+§Paid§$5.99§Everyone§Photography§July 25, 2018§1.3.1§4.1 and up
PhotoWonder: Pro Beauty Photo Editor Collage Maker§PHOTOGRAPHY§4.4§852649§43M§50,000,000+§Free§0§Teen§Photography§June 26, 2018§4.1.0.1§4.2 and up
Photo Effects Pro§PHOTOGRAPHY§4.4§1494491§21M§50,000,000+§Free§0§Everyone§Photography§March 21, 2017§3.3.8§3.1 and up
Photo Editor by Aviary§PHOTOGRAPHY§4.4§1490732§21M§50,000,000+§Free§0§Everyone§Photography§July 19, 2018§4.8.4§4.1 and up
Pixlr – Free Photo Editor§PHOTOGRAPHY§4.4§1163232§31M§50,000,000+§Free§0§Everyone§Photography§July 20, 2018§3.4.0§4.0.3 and up
Cymera Camera- Photo Editor, Filter,Collage,Layout§PHOTOGRAPHY§4.4§2418158§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 12, 2018§Varies with device§Varies with device
BeautyPlus - Easy Photo Editor & Selfie Camera§PHOTOGRAPHY§4.4§3158151§53M§100,000,000+§Free§0§Everyone§Photography§July 31, 2018§6.9.031§4.1 and up
Z Camera - Photo Editor, Beauty Selfie, Collage§PHOTOGRAPHY§4.4§1075277§47M§100,000,000+§Free§0§Mature 17+§Photography§August 3, 2018§4.21§4.1 and up
Candy Camera - selfie, beauty camera, photo editor§PHOTOGRAPHY§4.4§3368705§Varies with device§100,000,000+§Free§0§Everyone§Photography§July 16, 2018§4.47§4.0.3 and up
Facetune - For Free§PHOTOGRAPHY§4.4§49553§48M§1,000,000+§Paid§$5.99§Everyone§Photography§July 25, 2018§1.3.1§4.1 and up
BeautyPlus - Easy Photo Editor & Selfie Camera§PHOTOGRAPHY§4.4§3158151§53M§100,000,000+§Free§0§Everyone§Photography§July 31, 2018§6.9.031§4.1 and up
LiveScore: Live Sport Updates§SPORTS§4.4§283662§Varies with device§10,000,000+§Free§0§Everyone§Sports§June 15, 2018§Varies with device§4.1 and up
theScore: Live Sports Scores, News, Stats & Videos§SPORTS§4.4§133825§34M§10,000,000+§Free§0§Everyone 10+§Sports§July 25, 2018§6.17.2§4.4 and up
Sport.pl LIVE§SPORTS§4.4§21733§Varies with device§1,000,000+§Free§0§Mature 17+§Sports§June 29, 2018§Varies with device§Varies with device
Bleacher Report: sports news, scores, & highlights§SPORTS§4.4§122282§Varies with device§5,000,000+§Free§0§Everyone 10+§Sports§July 20, 2018§Varies with device§Varies with device
Goal Live Scores§SPORTS§4.4§232423§35M§5,000,000+§Free§0§Everyone§Sports§June 11, 2018§4.2.2§4.0.3 and up
Mercato foot by Maxifoot§SPORTS§4.4§697§3.0M§100,000+§Free§0§Everyone§Sports§March 16, 2017§1.1§4.1 and up
MUTV - Manchester United TV§SPORTS§4.4§4549§24M§500,000+§Free§0§Everyone§Sports§August 1, 2018§2.4.0§4.1 and up
Hole19: Golf GPS App, Rangefinder & Scorecard§SPORTS§4.4§6106§Varies with device§100,000+§Free§0§Everyone§Sports§August 1, 2018§Varies with device§Varies with device
Bleacher Report: sports news, scores, & highlights§SPORTS§4.4§122282§Varies with device§5,000,000+§Free§0§Everyone 10+§Sports§July 20, 2018§Varies with device§Varies with device
theScore: Live Sports Scores, News, Stats & Videos§SPORTS§4.4§133825§34M§10,000,000+§Free§0§Everyone 10+§Sports§July 25, 2018§6.17.2§4.4 and up
Zepp Golf Swing Analyzer§SPORTS§4.4§2020§84M§100,000+§Free§0§Everyone§Sports§May 24, 2018§4.4.0§5.0 and up
Hole19: Golf GPS App, Rangefinder & Scorecard§SPORTS§4.4§6106§Varies with device§100,000+§Free§0§Everyone§Sports§August 1, 2018§Varies with device§Varies with device
Fantasy Football Manager (FPL)§SPORTS§4.4§63650§4.6M§1,000,000+§Free§0§Everyone§Sports§August 3, 2018§7.0.2§4.1 and up
Bleacher Report: sports news, scores, & highlights§SPORTS§4.4§122283§Varies with device§5,000,000+§Free§0§Everyone 10+§Sports§July 20, 2018§Varies with device§Varies with device
theScore: Live Sports Scores, News, Stats & Videos§SPORTS§4.4§133833§34M§10,000,000+§Free§0§Everyone 10+§Sports§July 25, 2018§6.17.2§4.4 and up
Bleacher Report: sports news, scores, & highlights§SPORTS§4.4§122283§Varies with device§5,000,000+§Free§0§Everyone 10+§Sports§July 20, 2018§Varies with device§Varies with device
theScore: Live Sports Scores, News, Stats & Videos§SPORTS§4.4§133833§34M§10,000,000+§Free§0§Everyone 10+§Sports§July 25, 2018§6.17.2§4.4 and up
Bleacher Report: sports news, scores, & highlights§SPORTS§4.4§122283§Varies with device§5,000,000+§Free§0§Everyone 10+§Sports§July 20, 2018§Varies with device§Varies with device
theScore: Live Sports Scores, News, Stats & Videos§SPORTS§4.4§133833§34M§10,000,000+§Free§0§Everyone 10+§Sports§July 25, 2018§6.17.2§4.4 and up
NBA§SPORTS§4.4§108318§35M§10,000,000+§Free§0§Everyone§Sports§July 9, 2018§2017.7.1§4.4 and up
Hopper - Watch & Book Flights§TRAVEL_AND_LOCAL§4.4§52029§Varies with device§5,000,000+§Free§0§Everyone§Travel & Local§June 29, 2018§Varies with device§5.0 and up
TripIt: Travel Organizer§TRAVEL_AND_LOCAL§4.4§49190§25M§1,000,000+§Free§0§Everyone§Travel & Local§June 15, 2018§7.5.0§5.0 and up
World Travel Guide by Triposo§TRAVEL_AND_LOCAL§4.4§6012§81M§500,000+§Free§0§Everyone§Travel & Local§March 5, 2018§4.6.0§4.0.3 and up
Hostelworld: Hostels & Cheap Hotels Travel App§TRAVEL_AND_LOCAL§4.4§17878§28M§1,000,000+§Free§0§Everyone§Travel & Local§July 16, 2018§6.7.1§4.1 and up
TripAdvisor Hotels Flights Restaurants Attractions§TRAVEL_AND_LOCAL§4.4§1162837§Varies with device§100,000,000+§Free§0§Everyone§Travel & Local§August 4, 2018§Varies with device§Varies with device
Airbnb§TRAVEL_AND_LOCAL§4.4§359403§Varies with device§10,000,000+§Free§0§Everyone§Travel & Local§August 2, 2018§Varies with device§Varies with device
Flight & Hotel Booking App - ixigo§TRAVEL_AND_LOCAL§4.4§45562§Varies with device§5,000,000+§Free§0§Everyone§Travel & Local§July 30, 2018§4.0.9.1§4.1 and up
TripAdvisor Hotels Flights Restaurants Attractions§TRAVEL_AND_LOCAL§4.4§1162838§Varies with device§100,000,000+§Free§0§Everyone§Travel & Local§August 4, 2018§Varies with device§Varies with device
Despegar.com Hotels and Flights§TRAVEL_AND_LOCAL§4.4§150932§27M§10,000,000+§Free§0§Everyone§Travel & Local§July 30, 2018§9.1.0§4.1 and up
Priceline Hotel Deals, Rental Cars & Flights§TRAVEL_AND_LOCAL§4.4§48930§15M§5,000,000+§Free§0§Everyone§Travel & Local§July 26, 2018§4.38.176§4.4 and up
TripAdvisor Hotels Flights Restaurants Attractions§TRAVEL_AND_LOCAL§4.4§1162837§Varies with device§100,000,000+§Free§0§Everyone§Travel & Local§August 4, 2018§Varies with device§Varies with device
Priceline Hotel Deals, Rental Cars & Flights§TRAVEL_AND_LOCAL§4.4§48930§15M§5,000,000+§Free§0§Everyone§Travel & Local§July 26, 2018§4.38.176§4.4 and up
CWT To Go§TRAVEL_AND_LOCAL§4.4§20313§57M§100,000+§Free§0§Everyone§Travel & Local§August 5, 2018§17.7.8§4.4 and up
CheapTickets – Hotels, Flights & Travel Deals§TRAVEL_AND_LOCAL§4.4§6925§Varies with device§1,000,000+§Free§0§Everyone§Travel & Local§July 25, 2018§Varies with device§Varies with device
JetBlue§TRAVEL_AND_LOCAL§4.4§24281§29M§1,000,000+§Free§0§Everyone§Travel & Local§July 25, 2018§4.4.2§4.4 and up
Hopper - Watch & Book Flights§TRAVEL_AND_LOCAL§4.4§52028§Varies with device§5,000,000+§Free§0§Everyone§Travel & Local§June 29, 2018§Varies with device§5.0 and up
Flights§TRAVEL_AND_LOCAL§4.4§18039§3.1M§1,000,000+§Free§0§Everyone§Travel & Local§July 26, 2018§3.6.6§4.1 and up
The Emirates App§TRAVEL_AND_LOCAL§4.4§22748§55M§1,000,000+§Free§0§Everyone§Travel & Local§August 6, 2018§4.7.1§5.0 and up
Cheapflights – Flight Search§TRAVEL_AND_LOCAL§4.4§47780§19M§5,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
Orbitz - Hotels, Flights & Package Deals§TRAVEL_AND_LOCAL§4.4§33256§Varies with device§1,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
easyJet: Travel App§TRAVEL_AND_LOCAL§4.4§134895§50M§10,000,000+§Free§0§Everyone§Travel & Local§July 1, 2018§2.32.2§4.2 and up
Choice Hotels§TRAVEL_AND_LOCAL§4.4§17915§Varies with device§1,000,000+§Free§0§Everyone§Travel & Local§July 18, 2018§Varies with device§Varies with device
Couchsurfing Travel App§TRAVEL_AND_LOCAL§4.4§61776§Varies with device§1,000,000+§Free§0§Teen§Travel & Local§July 10, 2018§Varies with device§Varies with device
Priceline Hotel Deals, Rental Cars & Flights§TRAVEL_AND_LOCAL§4.4§48930§15M§5,000,000+§Free§0§Everyone§Travel & Local§July 26, 2018§4.38.176§4.4 and up
Orbitz - Hotels, Flights & Package Deals§TRAVEL_AND_LOCAL§4.4§33256§Varies with device§1,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
HotelTonight: Book amazing deals at great hotels§TRAVEL_AND_LOCAL§4.4§57573§Varies with device§5,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
Hostelworld: Hostels & Cheap Hotels Travel App§TRAVEL_AND_LOCAL§4.4§17878§28M§1,000,000+§Free§0§Everyone§Travel & Local§July 16, 2018§6.7.1§4.1 and up
TripAdvisor Hotels Flights Restaurants Attractions§TRAVEL_AND_LOCAL§4.4§1162837§Varies with device§100,000,000+§Free§0§Everyone§Travel & Local§August 4, 2018§Varies with device§Varies with device
Airbnb§TRAVEL_AND_LOCAL§4.4§359560§Varies with device§10,000,000+§Free§0§Everyone§Travel & Local§August 2, 2018§Varies with device§Varies with device
Turo - Better Than Car Rental§TRAVEL_AND_LOCAL§4.4§14114§46M§1,000,000+§Free§0§Everyone§Travel & Local§August 4, 2018§18.21.0§5.0 and up
HotelTonight: Book amazing deals at great hotels§TRAVEL_AND_LOCAL§4.4§57573§Varies with device§5,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
Google§TOOLS§4.4§8033493§Varies with device§1,000,000,000+§Free§0§Everyone§Tools§August 3, 2018§Varies with device§Varies with device
Google Translate§TOOLS§4.4§5745093§Varies with device§500,000,000+§Free§0§Everyone§Tools§August 4, 2018§Varies with device§Varies with device
Calculator - free calculator ,multi calculator app§TOOLS§4.4§1236§5.8M§100,000+§Free§0§Everyone§Tools§July 6, 2018§8.1.6§4.2 and up
Nokia mobile support§TOOLS§4.4§12215§9.1M§5,000,000+§Free§0§Everyone§Tools§August 1, 2018§1.7.4§7.0 and up
Samsung Calculator§TOOLS§4.4§9602§2.5M§100,000,000+§Free§0§Everyone§Tools§July 5, 2018§6.0.61.5§7.0 and up
Share Music & Transfer Files - Xender§TOOLS§4.4§1280423§Varies with device§100,000,000+§Free§0§Everyone§Tools§July 20, 2018§Varies with device§Varies with device
LED Flashlight§TOOLS§4.4§207706§4.3M§10,000,000+§Free§0§Everyone§Tools§July 10, 2017§2.4§3.0 and up
Tiny Flashlight + LED§TOOLS§4.4§4254879§Varies with device§100,000,000+§Free§0§Everyone§Tools§July 8, 2018§Varies with device§Varies with device
CM Flashlight (Compass, SOS)§TOOLS§4.4§166367§1.8M§5,000,000+§Free§0§Everyone§Tools§May 25, 2018§1.4.0§2.3 and up
Flashlight - Torch LED Light§TOOLS§4.4§192661§8.5M§10,000,000+§Free§0§Everyone§Tools§July 7, 2018§2.4.1§4.1 and up
ConvertPad - Unit Converter§TOOLS§4.4§90831§4.3M§10,000,000+§Free§0§Everyone§Tools§June 18, 2017§3.1.00§4.2 and up
Age Calculator§TOOLS§4.4§24265§3.3M§1,000,000+§Free§0§Everyone§Tools§July 25, 2017§4.0.6§4.0.3 and up
TunnelBear VPN§TOOLS§4.4§139480§Varies with device§5,000,000+§Free§0§Everyone§Tools§April 19, 2018§v150§4.1 and up
Emoji keyboard - Cute Emoticons, GIF, Stickers§TOOLS§4.4§1107320§25M§50,000,000+§Free§0§Everyone§Tools§August 7, 2018§3.4.500§4.1 and up
Wifi Analyzer§TOOLS§4.4§335115§1.8M§10,000,000+§Free§0§Everyone§Tools§April 7, 2018§3.11.2§6.0 and up
Speedtest by Ookla§TOOLS§4.4§1028794§Varies with device§100,000,000+§Free§0§Everyone§Tools§July 19, 2018§Varies with device§Varies with device
AppLock - Fingerprint§TOOLS§4.4§745245§3.5M§10,000,000+§Free§0§Everyone§Tools§April 13, 2018§7.2.0§2.3 and up
Applock§TOOLS§4.4§4934130§Varies with device§100,000,000+§Free§0§Everyone§Tools§June 11, 2018§Varies with device§Varies with device
Smart AppLock (App Protect)§TOOLS§4.4§137562§Varies with device§10,000,000+§Free§0§Everyone§Tools§May 31, 2018§Varies with device§Varies with device
Funny Ringtones§PERSONALIZATION§4.4§7146§14M§1,000,000+§Free§0§Everyone 10+§Personalization§February 2, 2018§1.1§4.0 and up
Golden Launcher§PERSONALIZATION§4.4§32794§12M§5,000,000+§Free§0§Everyone§Personalization§July 31, 2018§1.284.1.83§4.2 and up
New Launcher 2018§PERSONALIZATION§4.4§142393§12M§10,000,000+§Free§0§Everyone§Personalization§July 31, 2018§1.284.1.126§4.2 and up
Smart Launcher 5§PERSONALIZATION§4.4§512102§Varies with device§10,000,000+§Free§0§Everyone§Personalization§July 16, 2018§Varies with device§Varies with device
ZenUI Themes – Stylish Themes§PERSONALIZATION§4.4§47393§7.2M§10,000,000+§Free§0§Everyone§Personalization§May 24, 2018§1.8.0.24_180511§5.0 and up
Keyboard - wallpapers , photos§PERSONALIZATION§4.4§55525§22M§10,000,000+§Free§0§Everyone§Personalization§February 26, 2018§1.2.7§4.0 and up
ASUS Cover for ZenFone 2§PERSONALIZATION§4.4§43960§9.8M§10,000,000+§Free§0§Everyone§Personalization§December 1, 2017§2.0.0.39_171124§5.0 and up
Romantic Love Photo Frames§PERSONALIZATION§4.4§18918§12M§5,000,000+§Free§0§Everyone§Personalization§June 19, 2018§1.14§4.0 and up
Kairo XP (for HD Widgets)§PERSONALIZATION§4.4§1591§779k§10,000+§Paid§$0.99§Everyone§Personalization§January 7, 2015§1.1§4.0.3 and up
Best Wallpapers QHD§PERSONALIZATION§4.4§294701§5.1M§10,000,000+§Free§0§Teen§Personalization§March 17, 2018§2.85§4.0.3 and up
LINE Launcher§PERSONALIZATION§4.4§733838§21M§10,000,000+§Free§0§Everyone§Personalization§June 29, 2018§2.4.25§4.0.3 and up
Smart Launcher 5§PERSONALIZATION§4.4§512106§Varies with device§10,000,000+§Free§0§Everyone§Personalization§July 16, 2018§Varies with device§Varies with device
Buzz Launcher-Smart&Free Theme§PERSONALIZATION§4.4§251616§13M§10,000,000+§Free§0§Everyone§Personalization§November 13, 2017§1.9.7.07§4.0.3 and up
Yandex.Shell (Launcher+Dialer)§PERSONALIZATION§4.4§87300§Varies with device§1,000,000+§Free§0§Everyone§Personalization§March 17, 2015§2.32§Varies with device
GO Keyboard - Emoticon keyboard, Free Theme, GIF§PERSONALIZATION§4.4§2591941§Varies with device§100,000,000+§Free§0§Everyone§Personalization§July 20, 2018§Varies with device§Varies with device
AVG Cleaner – Speed, Battery & Memory Booster§PRODUCTIVITY§4.4§1188154§24M§10,000,000+§Free§0§Everyone§Productivity§June 14, 2018§4.6.4§4.1 and up
Google Drive§PRODUCTIVITY§4.4§2731171§Varies with device§1,000,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Chrome Beta§PRODUCTIVITY§4.4§228794§Varies with device§10,000,000+§Free§0§Everyone§Productivity§August 6, 2018§68.0.3440.91§Varies with device
Microsoft OneDrive§PRODUCTIVITY§4.4§1038306§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 1, 2018§Varies with device§Varies with device
Microsoft OneNote§PRODUCTIVITY§4.4§480643§Varies with device§100,000,000+§Free§0§Everyone§Productivity§July 22, 2018§16.0.10325.20024§4.4 and up
Google Keep§PRODUCTIVITY§4.4§691474§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Dropbox§PRODUCTIVITY§4.4§1861310§61M§500,000,000+§Free§0§Everyone§Productivity§August 1, 2018§Varies with device§Varies with device
Yandex.Disk§PRODUCTIVITY§4.4§115072§Varies with device§5,000,000+§Free§0§Everyone§Productivity§July 31, 2018§Varies with device§Varies with device
Advanced Task Killer§PRODUCTIVITY§4.4§577059§1.5M§50,000,000+§Free§0§Everyone§Productivity§August 7, 2016§2.2.1B216§2.3.3 and up
Hacker's Keyboard§PRODUCTIVITY§4.4§41418§1.2M§1,000,000+§Free§0§Everyone§Productivity§December 11, 2016§v1.39.3§2.2 and up
7 Weeks - Habit & Goal Tracker§PRODUCTIVITY§4.4§6011§4.3M§500,000+§Free§0§Everyone§Productivity§December 19, 2015§3.2.1§4.1 and up
Cozi Family Organizer§PRODUCTIVITY§4.4§56713§25M§1,000,000+§Free§0§Everyone§Productivity§July 5, 2018§9.3.5776§4.1 and up
Google Keep§PRODUCTIVITY§4.4§691474§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Easy Voice Recorder§PRODUCTIVITY§4.4§205191§7.1M§10,000,000+§Free§0§Everyone§Productivity§June 20, 2018§2.4.5§4.1 and up
Google Drive§PRODUCTIVITY§4.4§2731211§Varies with device§1,000,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Microsoft OneNote§PRODUCTIVITY§4.4§480640§Varies with device§100,000,000+§Free§0§Everyone§Productivity§July 22, 2018§16.0.10325.20024§4.4 and up
Note Everything§PRODUCTIVITY§4.4§57033§Varies with device§5,000,000+§Free§0§Everyone§Productivity§October 18, 2016§4.2.11§Varies with device
Google Keep§PRODUCTIVITY§4.4§691474§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Microsoft OneNote§PRODUCTIVITY§4.4§480638§Varies with device§100,000,000+§Free§0§Everyone§Productivity§July 22, 2018§16.0.10325.20024§4.4 and up
DigiCal Calendar Agenda§PRODUCTIVITY§4.4§133573§Varies with device§5,000,000+§Free§0§Everyone§Productivity§July 3, 2018§Varies with device§Varies with device
aCalendar - Android Phone§PRODUCTIVITY§4.4§80119§Varies with device§10,000,000+§Free§0§Everyone§Productivity§June 25, 2018§Varies with device§Varies with device
Google Drive§PRODUCTIVITY§4.4§2731211§Varies with device§1,000,000,000+§Free§0§Everyone§Productivity§August 6, 2018§Varies with device§Varies with device
Microsoft OneDrive§PRODUCTIVITY§4.4§1038303§Varies with device§100,000,000+§Free§0§Everyone§Productivity§August 1, 2018§Varies with device§Varies with device
Dropbox§PRODUCTIVITY§4.4§1861309§61M§500,000,000+§Free§0§Everyone§Productivity§August 1, 2018§Varies with device§Varies with device
Amazon Drive§PRODUCTIVITY§4.4§18669§4.1M§1,000,000+§Free§0§Everyone§Productivity§January 8, 2018§1.9.1.147.0-google§4.2 and up
Arabic Chat - Chat§PARENTING§4.4§162§1.5M§10,000+§Free§0§Everyone§Parenting§May 1, 2018§1.0§4.1 and up
Child Growth Tracking§PARENTING§4.4§498§Varies with device§50,000+§Free§0§Everyone§Parenting§July 25, 2018§1.5.3.1807§4.4 and up
Family GPS Tracker and Chat + Baby Monitor Online§PARENTING§4.4§9073§Varies with device§500,000+§Free§0§Everyone§Parenting§August 2, 2018§Varies with device§4.2 and up
Safe365 – Cell Phone GPS Locator For Your Family§PARENTING§4.4§11501§11M§1,000,000+§Free§0§Everyone§Parenting§July 30, 2018§3.7.1§4.0.3 and up
Baby Monitor§PARENTING§4.4§5343§5.2M§1,000,000+§Free§0§Everyone§Parenting§March 30, 2018§2.1.1§4.1 and up
It's open.§PARENTING§4.4§1528§16M§100,000+§Free§0§Everyone§Parenting§July 24, 2018§8.1.2§4.4 and up
Children's Stories 2018 - The Lion Come Lion§PARENTING§4.4§39§18M§10,000+§Free§0§Everyone§Parenting;Music & Video§October 31, 2017§1.2§4.0 and up
The Weather Channel: Rain Forecast & Storm Alerts§WEATHER§4.4§1558437§Varies with device§50,000,000+§Free§0§Everyone§Weather§August 1, 2018§Varies with device§Varies with device
AccuWeather: Daily Forecast & Live Weather Reports§WEATHER§4.4§2053404§Varies with device§50,000,000+§Free§0§Everyone§Weather§August 6, 2018§Varies with device§Varies with device
Free live weather on screen§WEATHER§4.4§15370§21M§1,000,000+§Free§0§Everyone§Weather§August 2, 2018§12.2.6.3660§4.1 and up
Weather –Simple weather forecast§WEATHER§4.4§40606§15M§10,000,000+§Free§0§Everyone§Weather§August 5, 2018§v7.0.02.3.0516.1_06_0713§5.0 and up
Yahoo Weather§WEATHER§4.4§1312037§Varies with device§10,000,000+§Free§0§Everyone§Weather§August 1, 2018§Varies with device§Varies with device
Real time Weather Forecast§WEATHER§4.4§4184§10M§1,000,000+§Free§0§Everyone§Weather§March 26, 2018§7.1.12.12§5.0 and up
VLC for Android§VIDEO_PLAYERS§4.4§1032076§Varies with device§100,000,000+§Free§0§Everyone§Video Players & Editors§July 30, 2018§Varies with device§2.3 and up
Code§VIDEO_PLAYERS§4.4§239242§Varies with device§10,000,000+§Free§0§Everyone§Video Players & Editors§November 19, 2017§17.6§5.0 and up
Music - Mp3 Player§VIDEO_PLAYERS§4.4§259605§3.1M§10,000,000+§Free§0§Everyone§Video Players & Editors§August 3, 2018§1.6.1§4.0.3 and up
Samsung Video Library§VIDEO_PLAYERS§4.4§25922§6.1M§50,000,000+§Free§0§Everyone§Video Players & Editors§May 9, 2018§1.4.08.2§7.0 and up
video player§VIDEO_PLAYERS§4.4§26421§Varies with device§1,000,000+§Free§0§Everyone§Video Players & Editors§May 30, 2018§3.4.5§4.1 and up
Omlet Arcade - Stream, Meet, Play§VIDEO_PLAYERS§4.4§169965§14M§10,000,000+§Free§0§Teen§Video Players & Editors§August 2, 2018§1.32.1§4.3 and up
VUE: video editor & camcorder§VIDEO_PLAYERS§4.4§38630§89M§1,000,000+§Free§0§Everyone§Video Players & Editors§August 5, 2018§2.1.6§4.4 and up
NEW - Read Newspaper, News 24h§NEWS_AND_MAGAZINES§4.4§158196§Varies with device§10,000,000+§Free§0§Everyone§News & Magazines§July 27, 2018§Varies with device§Varies with device
ARY NEWS URDU§NEWS_AND_MAGAZINES§4.4§1071§9.7M§500,000+§Free§0§Everyone§News & Magazines§July 25, 2018§5.8.0§4.1 and up
ARY NEWS§NEWS_AND_MAGAZINES§4.4§2959§9.8M§1,000,000+§Free§0§Everyone§News & Magazines§August 4, 2018§7.5.0§4.1 and up
