App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Pixel Draw - Number Art Coloring Book§ART_AND_DESIGN§4.3§967§2.8M§100,000+§Free§0§Everyone§Art & Design;Creativity§June 20, 2018§1.1§4.4 and up
Talking Tom Cat§FAMILY§4.3§1838090§Varies with device§100,000,000+§Free§0§Everyone 10+§Casual§July 27, 2018§Varies with device§4.1 and up
Turbo FAST§FAMILY§4.3§1329008§97M§50,000,000+§Free§0§Everyone§Racing;Action & Adventure§October 4, 2017§2.1.20§2.3.3 and up
Kik§COMMUNICATION§4.3§2451136§Varies with device§100,000,000+§Free§0§Teen§Communication§August 3, 2018§Varies with device§Varies with device
KIM KARDASHIAN: HOLLYWOOD§GAME§4.3§1017408§34M§10,000,000+§Free§0§Teen§Adventure§July 16, 2018§9.2.0§4.0 and up
Zapzapmath: K-6 Math Games§FAMILY§4.3§1065§61M§100,000+§Free§0§Everyone§Educational;Education§May 13, 2018§4.1.10§4.1 and up
KakaoTalk: Free Calls & Text§COMMUNICATION§4.3§2546549§Varies with device§100,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Math Quiz Free: Grades K,1,2,3§FAMILY§4.3§159§13M§10,000+§Free§0§Everyone§Education;Education§February 3, 2015§1.0§4.0 and up
Daily K-Talk§FAMILY§4.3§264§60M§10,000+§Free§0§Everyone§Education§July 31, 2018§v8[1.0.10]§2.3 and up
Lep's World 🍀§GAME§4.3§696019§Varies with device§50,000,000+§Free§0§Everyone 10+§Arcade§May 26, 2018§3.0.6§4.1 and up
Cheating Tom 3 - Genius School§GAME§4.3§90415§84M§10,000,000+§Free§0§Everyone§Arcade§July 24, 2018§1.0.20§4.1 and up
Dialer theme Droid L§PERSONALIZATION§4.3§1734§2.8M§100,000+§Free§0§Mature 17+§Personalization§April 2, 2016§4.0§4.0.3 and up
SPEED L§SHOPPING§4.3§85§2.9M§50,000+§Free§0§Everyone§Shopping§June 26, 2018§1.24§4.4 and up
Xbox§FAMILY§4.3§556659§46M§10,000,000+§Free§0§Everyone§Entertainment§June 20, 2018§1805.0618.1637§4.1 and up
Mobizen Screen Recorder - Record, Capture, Edit§PRODUCTIVITY§4.3§1827212§Varies with device§50,000,000+§Free§0§Everyone§Productivity§July 31, 2018§3.6.0.28§4.4 and up
m>notes notepad§PRODUCTIVITY§4.3§184§Varies with device§1,000+§Paid§$2.99§Everyone§Productivity§December 4, 2015§Varies with device§2.2 and up
N Launcher Pro - Nougat 7.0§PERSONALIZATION§4.3§2538§6.4M§100,000+§Paid§$2.99§Everyone§Personalization§March 23, 2018§1.5.1§4.1 and up
Dual N-Back - Brain game§FAMILY§4.3§817§28M§100,000+§Free§0§Everyone§Educational§May 25, 2018§2.4.2§4.1 and up
N Files - File Manager & Explorer§PRODUCTIVITY§4.3§369§11M§10,000+§Free§0§Everyone§Productivity§July 18, 2018§2.9.5§4.1 and up
Guns'n'Glory Heroes Premium§FAMILY§4.3§923§Varies with device§10,000+§Paid§$2.99§Everyone§Strategy§November 9, 2017§Varies with device§Varies with device
Multiling O Keyboard + emoji§PRODUCTIVITY§4.3§30443§540k§1,000,000+§Free§0§Everyone§Productivity§July 3, 2018§0.54.2.4§2.1 and up
Google I/O 2018§BOOKS_AND_REFERENCE§4.3§22401§4.6M§500,000+§Free§0§Everyone§Books & Reference§May 7, 2018§6.1.2§5.0 and up
O Launcher§TOOLS§4.3§2059§10M§100,000+§Free§0§Everyone§Tools§May 22, 2018§1.1.4§5.0 and up
Psiphon Pro - The Internet Freedom VPN§COMMUNICATION§4.3§298041§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 3, 2018§Varies with device§Varies with device
P9 Launcher - Android™ 9.0 P Launcher Style§TOOLS§4.3§1162§7.3M§100,000+§Free§0§Everyone§Tools§July 6, 2018§2.5§4.1 and up
Q*bert: Rebooted§GAME§4.3§13788§55M§1,000,000+§Free§0§Everyone§Arcade§April 1, 2017§1.1§4.4 and up
DJMAX TECHNIKA Q - Music Game§GAME§4.3§21107§95M§100,000+§Free§0§Everyone§Music§July 30, 2018§1.2.1§4.0.3 and up
R-TYPE II§GAME§4.3§5682§37M§50,000+§Paid§$1.99§Everyone§Arcade§March 2, 2017§1.1.5§2.3.3 and up
R Bank§FINANCE§4.3§90§13M§5,000+§Free§0§Everyone§Finance§May 30, 2018§5.9.1.0§5.0 and up
Samsung Smart Switch Mobile§TOOLS§4.3§146913§24M§100,000,000+§Free§0§Everyone§Tools§July 18, 2018§3.5.02.15§4.0 and up
Five Nights at Freddy's 2 Demo§FAMILY§4.3§1503544§40M§50,000,000+§Free§0§Teen§Strategy§November 15, 2014§1.07§2.3 and up
Crime Wars S. Andreas§GAME§4.3§5785§93M§500,000+§Free§0§Teen§Racing§April 12, 2017§1.2§2.3 and up
T-Mobile§TOOLS§4.3§482630§Varies with device§10,000,000+§Free§0§Everyone§Tools§August 3, 2018§Varies with device§Varies with device
U by BB&T§FINANCE§4.3§16600§24M§1,000,000+§Free§0§Everyone§Finance§June 19, 2018§1.7.7§4.4 and up
ENCHANT U§FAMILY§4.3§83977§11M§500,000+§Free§0§Everyone§Casual§November 8, 2012§1.2.2§2.1 and up
U-Report§SOCIAL§4.3§241§7.5M§10,000+§Free§0§Teen§Social§April 10, 2018§2.8.4§4.0.3 and up
V Made§BOOKS_AND_REFERENCE§4.3§241§20M§100,000+§Free§0§Everyone§Books & Reference§February 13, 2018§1.0§4.0.3 and up
Viber Messenger§COMMUNICATION§4.3§11335481§Varies with device§500,000,000+§Free§0§Everyone§Communication§July 18, 2018§Varies with device§Varies with device
Vigo Video§VIDEO_PLAYERS§4.3§1615418§Varies with device§50,000,000+§Free§0§Teen§Video Players & Editors§August 3, 2018§Varies with device§4.0.3 and up
V-CUBE Seminar Mobile§BUSINESS§4.3§542§30M§100,000+§Free§0§Everyone§Business§April 17, 2018§1.23.0§4.0 and up
VMate Lite - Funny Short Videos Social Network§SOCIAL§4.3§903§4.6M§1,000,000+§Free§0§Teen§Social§August 3, 2018§1.76§4.0.3 and up
V for Vampire - Free§FAMILY§4.3§2772§35M§500,000+§Free§0§Teen§Puzzle§September 20, 2014§1.0.1§2.1 and up
Cheat Codes for GTA V§FAMILY§4.3§589§3.6M§100,000+§Free§0§Mature 17+§Entertainment§September 3, 2017§1.8.0§4.0 and up
Dating App, Flirt & Chat : W-Match§SOCIAL§4.3§175523§Varies with device§10,000,000+§Free§0§Mature 17+§Social§July 23, 2018§Varies with device§Varies with device
Words With Friends Classic§GAME§4.3§1704112§Varies with device§50,000,000+§Free§0§Everyone§Word§July 11, 2018§Varies with device§Varies with device
Fantasy Squad W§FAMILY§4.3§2142§47M§50,000+§Free§0§Everyone 10+§Role Playing§April 16, 2018§1.5.4§4.1 and up
WIFI WPS WPA TESTER§TOOLS§4.3§352097§6.7M§10,000,000+§Free§0§Everyone§Tools§June 12, 2018§3.8.5§4.0 and up
Extreme X Ray Robot Stunts§GAME§4.3§10806§49M§5,000,000+§Free§0§Everyone§Racing§May 9, 2017§1.5.1§4.0 and up
Control Center iOS 11 - Phone X notifications§TOOLS§4.3§514§8.4M§50,000+§Free§0§Everyone§Tools§February 12, 2018§1.8§4.4 and up
iLocker X - iOS11 Lockscreen with HD Wallpapers§PERSONALIZATION§4.3§1714§31M§100,000+§Free§0§Everyone§Personalization§June 19, 2018§1.4.7§4.1 and up
Decibel X PRO - Sound Meter dBA, Noise Detector§TOOLS§4.3§60§6.9M§1,000+§Paid§$3.99§Everyone§Tools§July 11, 2018§4.4.1§4.1 and up
YouTube Studio§VIDEO_PLAYERS§4.3§436170§Varies with device§10,000,000+§Free§0§Teen§Video Players & Editors§June 28, 2018§Varies with device§Varies with device
Yahoo Mail – Stay Organized§COMMUNICATION§4.3§4188345§16M§100,000,000+§Free§0§Everyone§Communication§July 18, 2018§5.29.3§4.4 and up
Real Gangster Crime§GAME§4.3§285814§84M§10,000,000+§Free§0§Teen§Action§June 26, 2018§3.5§4.0 and up
WithstandZ - Zombie Survival!§GAME§4.3§121612§59M§1,000,000+§Free§0§Teen§Action§December 28, 2017§1.0.6.4§4.0 and up
Z City§FAMILY§4.3§3976§98M§100,000+§Free§0§Teen§Strategy§January 29, 2018§1.1.6§4.0 and up
Reload: The Z-Team§GAME§4.3§1655§91M§100,000+§Free§0§Everyone 10+§Action§February 28, 2018§1.6.2§4.4 and up
Free Z Glass GO Keyboard Theme§PERSONALIZATION§4.3§71829§8.8M§5,000,000+§Free§0§Everyone§Personalization§June 30, 2017§4.16§4.0 and up
Zombie Avengers:(Dreamsky)Stickman War Z§GAME§4.3§13604§96M§1,000,000+§Paid§$0.99§Teen§Action§June 26, 2018§2.4.4§2.3 and up
Dragon X Adventure: Warrior Z§GAME§4.3§8537§29M§100,000+§Free§0§Everyone 10+§Action§November 3, 2015§1.1.4§2.3 and up
Ultimate Fighter Z§GAME§4.3§180§24M§5,000+§Free§0§Everyone§Action§July 16, 2018§2.0§4.4 and up
Theme eXp - Black Z Light§PERSONALIZATION§4.3§29540§4.3M§1,000,000+§Free§0§Everyone§Personalization§June 15, 2016§2.0§5.0 and up
AB Repeat Player§VIDEO_PLAYERS§4.3§1628§18M§100,000+§Free§0§Everyone§Video Players & Editors§March 6, 2018§4.1.1§4.4 and up
30 Day Ab Challenge FREE§HEALTH_AND_FITNESS§4.3§48253§Varies with device§1,000,000+§Free§0§Everyone§Health & Fitness§December 13, 2017§Varies with device§Varies with device
AB Blast Match 3§FAMILY§4.3§111§48M§10,000+§Free§0§Everyone§Puzzle§June 19, 2018§1.13§4.1 and up
AB Crush Match 3§FAMILY§4.3§96§54M§10,000+§Free§0§Everyone§Casual§February 23, 2017§1.1§2.3 and up
Angry Birds Star Wars§GAME§4.3§1218055§45M§100,000,000+§Free§0§Everyone§Arcade§May 25, 2018§1.5.12§4.1 and up
All Type Ac Repair & Services§LIFESTYLE§4.3§45§2.2M§10,000+§Free§0§Everyone§Lifestyle§December 26, 2017§0.8§4.1 and up
tTorrent - ad free§VIDEO_PLAYERS§4.3§2976§Varies with device§10,000+§Paid§$1.99§Everyone§Video Players & Editors§June 15, 2018§1.5.14§4.1 and up
Google AdSense§PRODUCTIVITY§4.3§52677§2.9M§1,000,000+§Free§0§Everyone§Productivity§December 13, 2017§3.3§4.0 and up
Brave Browser: Fast AdBlocker§COMMUNICATION§4.3§40241§Varies with device§5,000,000+§Free§0§Everyone§Communication§June 30, 2018§1.0.52§4.1 and up
Google Ads§BUSINESS§4.3§29331§20M§5,000,000+§Free§0§Everyone§Business§July 30, 2018§1.12.0§4.0.3 and up
AE Sudoku§FAMILY§4.3§2171§12M§100,000+§Free§0§Everyone§Puzzle§July 29, 2015§1.1.0§2.2 and up
AE Coin Mania : Arcade Fun§GAME§4.3§30002§29M§1,000,000+§Free§0§Teen§Casino§February 8, 2018§2.3.5§4.0.3 and up
AE Lucky Fishing§GAME§4.3§18277§17M§1,000,000+§Free§0§Teen§Arcade§March 14, 2016§2.0.2§2.3 and up
AE Solitaire§GAME§4.3§1776§26M§50,000+§Free§0§Everyone§Card§January 4, 2018§2.3.4§4.0.3 and up
Gunship III Vietnam People AF§FAMILY§4.3§726§19M§5,000+§Paid§$4.99§Everyone§Simulation§December 9, 2016§3.8.4§2.3.3 and up
Open Camera§PHOTOGRAPHY§4.3§116769§2.0M§10,000,000+§Free§0§Everyone§Photography§April 23, 2018§1.43.3§4.0.3 and up
PhotoScan by Google Photos§PHOTOGRAPHY§4.3§61990§Varies with device§10,000,000+§Free§0§Everyone§Photography§February 9, 2018§1.5.1.182070924§5.0 and up
Afterlight§PHOTOGRAPHY§4.3§50893§35M§1,000,000+§Free§0§Everyone§Photography§November 20, 2014§1.0.6§4.0.3 and up
Blurfoto : Auto blur photo background & DSLR focus§PHOTOGRAPHY§4.3§2215§12M§500,000+§Free§0§Everyone§Photography§July 27, 2018§1.12§4.3 and up
Platincoin Wallet - PLC Group AG§LIBRARIES_AND_DEMO§4.3§375§15M§10,000+§Free§0§Everyone§Libraries & Demo§June 1, 2018§2.0.1§4.0.3 and up
2048(AI)§FAMILY§4.3§20§3.5M§1,000+§Free§0§Everyone§Casual§June 3, 2015§0.33§2.3 and up
AK Interactive§FAMILY§4.3§734§13M§10,000+§Free§0§Everyone§Entertainment§July 12, 2018§2.5§4.0 and up
Crisis Action: 2018 NO.1 FPS§GAME§4.3§807226§34M§10,000,000+§Free§0§Teen§Action§July 11, 2018§3.0.2§4.0.3 and up
Kymco AK 550§AUTO_AND_VEHICLES§4.3§47§58M§1,000+§Free§0§Everyone§Auto & Vehicles§November 11, 2016§1.0§2.3 and up
Alabama DMV Permit Test - AL§FAMILY§4.3§218§29M§10,000+§Free§0§Everyone§Education§February 15, 2018§6.0.3§4.4 and up
We're Working Out - Al Kavadlo§HEALTH_AND_FITNESS§4.3§979§Varies with device§50,000+§Free§0§Everyone§Health & Fitness§December 24, 2017§Varies with device§Varies with device
I am Rich§FINANCE§4.3§180§3.8M§5,000+§Paid§$399.99§Everyone§Finance§March 22, 2018§1.0§4.2 and up
The Sims™ FreePlay§FAMILY§4.3§931503§31M§10,000,000+§Free§0§Teen§Simulation§July 16, 2018§5.39.1§4.0.3 and up
Text free - Free Text + Call§SOCIAL§4.3§315390§Varies with device§10,000,000+§Free§0§Everyone§Social§July 26, 2018§Varies with device§Varies with device
Diary with lock password§LIFESTYLE§4.3§179139§9.7M§5,000,000+§Free§0§Everyone§Lifestyle§November 1, 2017§3.5.3§4.0.3 and up
Fast like a Fox§GAME§4.3§104389§12M§5,000,000+§Free§0§Everyone§Adventure§April 17, 2018§1.4.0§4.2 and up
Ultimate Tennis§SPORTS§4.3§183004§100M§10,000,000+§Free§0§Everyone§Sports§July 19, 2018§2.29.3118§4.0.3 and up
Legion of Heroes§FAMILY§4.3§143087§69M§1,000,000+§Free§0§Everyone 10+§Role Playing§July 12, 2018§1.9.22§4.0 and up
Can Your Pet? : Returns - Teen§FAMILY§4.3§45370§14M§1,000,000+§Free§0§Teen§Simulation§August 2, 2018§2.59.8§2.3 and up
Treasure Hunt Hidden Objects Adventure Game§FAMILY§4.3§1231§Varies with device§100,000+§Free§0§Everyone§Puzzle§May 24, 2018§2.2§4.1 and up
WGT Golf Game by Topgolf§SPORTS§4.3§148083§57M§10,000,000+§Free§0§Everyone§Sports§July 24, 2018§1.42.2§4.1 and up
Weaphones™ Gun Sim Free Vol 1§FAMILY§4.3§598975§39M§10,000,000+§Free§0§Everyone§Simulation§January 17, 2018§2.4.0§4.0 and up
Hidden Objects Treasure Hunt Adventure Games§FAMILY§4.3§275§29M§10,000+§Free§0§Everyone§Puzzle§July 9, 2018§1.0.1§4.4 and up
Reuters News§NEWS_AND_MAGAZINES§4.3§13166§25M§1,000,000+§Free§0§Everyone 10+§News & Magazines§June 6, 2018§3.4.4§4.1 and up
AdventureQuest 3D MMO§FAMILY§4.3§22667§35M§1,000,000+§Free§0§Teen§Role Playing§July 26, 2018§1.10.1§4.4 and up
Undead Assault§GAME§4.3§4704§37M§100,000+§Free§0§Everyone 10+§Arcade§November 4, 2015§1.4.6§2.3 and up
Puffin Web Browser§COMMUNICATION§4.3§541661§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 9, 2018§7.5.3.20547§4.1 and up
Evil Apples: A Dirty Card Game§GAME§4.3§137696§55M§5,000,000+§Free§0§Mature 17+§Word§July 19, 2018§2.3.3§4.2 and up
Megatramp - a Story of Success!§FAMILY§4.3§322976§Varies with device§5,000,000+§Free§0§Teen§Simulation§June 13, 2018§Varies with device§4.2 and up
Jurassic World™ Alive§FAMILY§4.3§308944§70M§5,000,000+§Free§0§Everyone 10+§Simulation§August 2, 2018§1.3.15§4.4 and up
Sketchfab§FAMILY§4.3§906§9.2M§50,000+§Free§0§Mature 17+§Entertainment§March 9, 2018§0.46.0§4.4 and up
Ingress§GAME§4.3§391325§43M§10,000,000+§Free§0§Everyone§Adventure§June 20, 2018§1.131.2§4.0 and up
My Tamagotchi Forever§FAMILY§4.3§28735§91M§1,000,000+§Free§0§Everyone§Casual§August 1, 2018§1.12.0.1654§4.2 and up
ARuler - AR Ruler app, Measure tools§TOOLS§4.3§1602§5.0M§100,000+§Free§0§Everyone§Tools§August 3, 2018§1.1.7§7.0 and up
SNOW - AR Camera§PHOTOGRAPHY§4.3§1017237§Varies with device§50,000,000+§Free§0§Everyone§Photography§July 30, 2018§7.6.5§4.3 and up
Sleep as Android: Sleep cycle tracker, smart alarm§LIFESTYLE§4.3§246201§Varies with device§10,000,000+§Free§0§Everyone§Lifestyle§July 23, 2018§Varies with device§Varies with device
Pacific Navy Fighter C.E. (AS)§GAME§4.3§11379§20M§500,000+§Free§0§Everyone 10+§Arcade§July 29, 2018§1.4§4.0.3 and up
Ninja Turtles: Legends§FAMILY§4.3§344283§95M§10,000,000+§Free§0§Teen§Role Playing§December 18, 2017§1.11.39§4.1 and up
Timely Alarm Clock§LIFESTYLE§4.3§258717§9.4M§10,000,000+§Free§0§Everyone§Lifestyle§September 25, 2017§1.3.1§4.0.3 and up
My Boy! Free - GBA Emulator§GAME§4.3§531074§2.5M§10,000,000+§Free§0§Everyone§Arcade§January 9, 2018§Varies with device§Varies with device
Samsung Health§HEALTH_AND_FITNESS§4.3§480208§70M§500,000,000+§Free§0§Everyone§Health & Fitness§July 31, 2018§5.17.2.009§5.0 and up
Image 2 Wallpaper§TOOLS§4.3§81668§Varies with device§5,000,000+§Free§0§Everyone§Tools§December 26, 2016§Varies with device§Varies with device
Ringtone Maker§PERSONALIZATION§4.3§495748§Varies with device§50,000,000+§Free§0§Everyone§Personalization§July 29, 2018§Varies with device§Varies with device
Google Allo§COMMUNICATION§4.3§347086§Varies with device§10,000,000+§Free§0§Everyone§Communication§January 23, 2018§Varies with device§4.1 and up
CM FILE MANAGER HD§PRODUCTIVITY§4.3§144873§Varies with device§10,000,000+§Free§0§Everyone§Productivity§January 24, 2016§3.5.0§Varies with device
Kingdoms at War: Hardcore PVP§FAMILY§4.3§34898§92M§1,000,000+§Free§0§Teen§Strategy§June 28, 2018§4.05§4.0.3 and up
World at War: WW2 Strategy MMO§FAMILY§4.3§107765§78M§5,000,000+§Free§0§Everyone 10+§Strategy§May 25, 2018§3.1.9§4.1 and up
Block Battles: Heroes at War - Multiplayer PVP§GAME§4.3§6698§46M§500,000+§Free§0§Everyone 10+§Action§May 14, 2016§1.0.1§2.3 and up
Mali 7 - Actualités au Mali§NEWS_AND_MAGAZINES§4.3§697§5.7M§50,000+§Free§0§Everyone§News & Magazines§April 8, 2017§2.4§4.1 and up
AV Tools Pro§TOOLS§4.3§35§Varies with device§1,000+§Paid§$2.49§Everyone§Tools§September 22, 2016§Varies with device§Varies with device
AV Phonetics§FAMILY§4.3§259§49M§10,000+§Free§0§Everyone§Education§February 22, 2017§1.3.2§4.0 and up
DEER HUNTER 2018§GAME§4.3§955614§82M§10,000,000+§Free§0§Teen§Action§June 26, 2018§5.1.2§3.0 and up
AW Screen Recorder No Root§VIDEO_PLAYERS§4.3§1659§3.7M§100,000+§Free§0§Everyone§Video Players & Editors§July 6, 2017§1.1§5.0 and up
Add Watermark Free§PHOTOGRAPHY§4.3§18325§Varies with device§1,000,000+§Free§0§Everyone§Photography§September 3, 2017§Varies with device§Varies with device
Analog Clock AW-7§TOOLS§4.3§2158§3.0M§100,000+§Free§0§Everyone§Tools§March 7, 2018§2.0§4.3 and up
Clash of Axe: Flippy Lumberjack Action X§GAME§4.3§6§61M§1,000+§Free§0§Everyone§Action§September 14, 2017§1.2§4.0 and up
Axe Clicker§FAMILY§4.3§10446§64M§500,000+§Free§0§Everyone§Casual§July 13, 2018§1.0.142§4.0.3 and up
AY Recorder - Screen Recorder, Live, Video Editor§TOOLS§4.3§12§3.8M§500+§Free§0§Everyone§Tools§May 15, 2017§2.2§5.0 and up
Ay Hasnain k Nana Milad Naat§BOOKS_AND_REFERENCE§4.3§72§1.9M§10,000+§Free§0§Everyone§Books & Reference§December 21, 2015§1.0§2.3 and up
Google Play Games§FAMILY§4.3§7168735§Varies with device§1,000,000,000+§Free§0§Teen§Entertainment§July 16, 2018§Varies with device§Varies with device
ai.type Free Emoji Keyboard§PERSONALIZATION§4.3§647721§Varies with device§10,000,000+§Free§0§Everyone§Personalization§July 24, 2018§Varies with device§Varies with device
Gangster Town: Vice District§FAMILY§4.3§65146§100M§10,000,000+§Free§0§Mature 17+§Simulation§May 31, 2018§2.1§4.0 and up
Mad Day - Truck Distance Game§GAME§4.3§29270§44M§5,000,000+§Free§0§Everyone§Action§July 25, 2018§1.4.3§4.0.3 and up
Casino AZ/Talking Stick Resort§TRAVEL_AND_LOCAL§4.3§201§45M§10,000+§Free§0§Everyone§Travel & Local§July 16, 2018§7.9.2.6§4.4 and up
Arizona Mobile§FAMILY§4.3§285§6.2M§10,000+§Free§0§Everyone§Education§November 7, 2017§4.7§4.1 and up
A-Z Punjabi Songs & Music Videos 2018§FAMILY§4.3§367§5.1M§100,000+§Free§0§Everyone§Entertainment§May 17, 2018§1.0.19§4.1 and up
Barista Coffee Dictionary A-Z§LIFESTYLE§4.3§127§5.5M§10,000+§Free§0§Everyone§Lifestyle§June 3, 2016§3.0.0§4.1 and up
PBA® Bowling Challenge§SPORTS§4.3§242096§87M§10,000,000+§Free§0§Everyone§Sports§August 2, 2018§3.4.4§4.1 and up
Survival Mobile:10,000 BC§FAMILY§4.3§7441§52M§500,000+§Free§0§Everyone 10+§Strategy§August 2, 2018§0.1.801§2.3 and up
Victoria, BC | Tour City§TRAVEL_AND_LOCAL§4.3§20§15M§1,000+§Free§0§Everyone§Travel & Local§August 2, 2016§1.7§4.0 and up
Jagobd - Bangla TV(Official)§FAMILY§4.3§39109§4.0M§1,000,000+§Free§0§Everyone§Entertainment§December 20, 2017§6.5§4.0 and up
বাংলা টিভি প্রো BD Bangla TV§FAMILY§4.3§193§14M§10,000+§Free§0§Everyone§Entertainment§April 29, 2017§1.3§4.0 and up
BD Radio TV Free List§FAMILY§4.3§539§13M§50,000+§Free§0§Everyone§Entertainment§August 1, 2018§1.3§4.2 and up
Electricity Bill Calculator BD§PRODUCTIVITY§4.3§247§4.0M§10,000+§Free§0§Everyone§Productivity§June 22, 2016§1.2§4.0.3 and up
Be My Princess 2§FAMILY§4.3§2806§27M§100,000+§Free§0§Teen§Entertainment§March 20, 2018§3.6§2.3 and up
Be the Manager 2018 - Football Strategy§SPORTS§4.3§7557§7.4M§100,000+§Free§0§Everyone§Sports§March 12, 2018§2.2.1§4.2 and up
Be like Me - Hay Nhu Toi§PERSONALIZATION§4.3§44§3.5M§1,000+§Free§0§Teen§Personalization§May 26, 2016§1.3§4.0 and up
Be Like Bill - Maker§FAMILY§4.3§18§1.7M§1,000+§Free§0§Everyone§Entertainment§January 27, 2016§1.2§3.2 and up
Be you GO Launcher Theme§PERSONALIZATION§4.3§1580§3.6M§100,000+§Free§0§Everyone§Personalization§November 12, 2014§v1.0§2.3 and up
Star Girl - Fashion, Makeup & Dress Up§FAMILY§4.3§556929§53M§10,000,000+§Free§0§Teen§Casual§April 19, 2018§4.2.1§4.0.3 and up
Beauty Idol: Fashion Queen§GAME§4.3§128367§54M§1,000,000+§Free§0§Everyone§Arcade§October 27, 2017§2.1.0§4.0.3 and up
Hard Time (Prison Sim)§GAME§4.3§275843§41M§10,000,000+§Free§0§Teen§Adventure§July 19, 2018§1.401§4.0 and up
My Virtual Boyfriend§FAMILY§4.3§105§51M§1,000+§Paid§$0.99§Teen§Casual§February 17, 2017§3.6§2.3.3 and up
BF 3d Images§FAMILY§4.3§19§2.5M§1,000+§Free§0§Teen§Entertainment§June 17, 2015§4.5§3.0 and up
BLOOD & GLORY: IMMORTALS§GAME§4.3§101762§11M§1,000,000+§Free§0§Teen§Action§June 11, 2015§2.0.0§3.0 and up
Music for Youtube - Tube Music BG, Red+§VIDEO_PLAYERS§4.3§47§8.7M§1,000+§Free§0§Teen§Video Players & Editors§September 23, 2017§1.10§4.2 and up
Bg+ Call Blocker§TOOLS§4.3§80§1.7M§10,000+§Free§0§Everyone§Tools§March 20, 2018§1.2§4.0 and up
Baldur's Gate II§FAMILY§4.3§5442§16M§50,000+§Paid§$9.99§Teen§Role Playing§June 28, 2018§2.5.16.6§3.0 and up
Rento - Dice Board Game Online§GAME§4.3§205830§63M§10,000,000+§Free§0§Everyone§Board§June 20, 2018§4.4.9§4.1 and up
Ultimate Background Eraser§PHOTOGRAPHY§4.3§14453§21M§1,000,000+§Free§0§Everyone§Photography§March 13, 2018§1.9§4.1 and up
OnTrack Diabetes§MEDICAL§4.3§6079§1.8M§500,000+§Free§0§Everyone§Medical§January 17, 2018§3.2.7§2.1 and up
GEM™§TOOLS§4.3§6§33M§500+§Free§0§Everyone§Tools§July 23, 2018§1.93§5.0 and up
Power BI Ultimate Orientation§FAMILY§4.3§12§8.1M§5,000+§Free§0§Everyone§Education§February 6, 2017§1.0.1§4.0 and up
happn – Local dating app§LIFESTYLE§4.3§1118201§Varies with device§10,000,000+§Free§0§Mature 17+§Lifestyle§July 24, 2018§Varies with device§Varies with device
Mint: Budget, Bills, Finance§FINANCE§4.3§129305§Varies with device§5,000,000+§Free§0§Everyone§Finance§August 2, 2018§Varies with device§Varies with device
One Launcher§PERSONALIZATION§4.3§26601§5.4M§1,000,000+§Free§0§Everyone§Personalization§July 16, 2018§26.1.0.20180713§2.3.3 and up
Blackjack§GAME§4.3§52199§Varies with device§1,000,000+§Free§0§Teen§Casino§May 18, 2017§1.2.4.69§2.3 and up
3D DJ – DJ Mixer 2018§FAMILY§4.3§6333§30M§1,000,000+§Free§0§Everyone§Entertainment§May 25, 2018§1.1.12§5.0 and up
Service Disabler§TOOLS§4.3§534§3.0M§100,000+§Free§0§Everyone§Tools§June 23, 2018§1.0.6§4.0 and up
BK Photography§PHOTOGRAPHY§4.3§20§4.8M§1,000+§Free§0§Everyone§Photography§January 6, 2017§0.1§2.3 and up
Red Embrace (BL/Yaoi Game)§FAMILY§4.3§616§25M§10,000+§Free§0§Teen§Casual§June 12, 2018§4.5.5§2.3.3 and up
Heirs & Graces§GAME§4.3§125§70M§5,000+§Free§0§Teen§Adventure§July 1, 2016§1.0.1§2.3.3 and up
BL IP-Camera§TOOLS§4.3§15§1.2M§100+§Paid§$3.99§Everyone§Tools§June 5, 2014§1.3.140606§2.3 and up
Skill Tree - BL Pre Sequel§FAMILY§4.3§855§7.0M§10,000+§Free§0§Teen§Entertainment§February 22, 2016§5.0§2.3.3 and up
BL Mobile Banking§FINANCE§4.3§23§93M§1,000+§Free§0§Everyone§Finance§August 1, 2018§2.6.0§5.0 and up
BL PowerPoint Remote§TOOLS§4.3§33§1.0M§500+§Paid§$3.99§Everyone§Tools§February 25, 2015§2.6.150226§2.3 and up
BBM - Free Calls & Messages§COMMUNICATION§4.3§12843436§Varies with device§100,000,000+§Free§0§Everyone§Communication§August 2, 2018§Varies with device§4.0.3 and up
BM Box§BOOKS_AND_REFERENCE§4.3§28§Varies with device§1,000+§Free§0§Everyone§Books & Reference§October 20, 2016§Varies with device§Varies with device
Basket Manager 2016 Free§SPORTS§4.3§1879§4.4M§100,000+§Free§0§Everyone§Sports§February 9, 2017§2.9§4.1 and up
BBMoji - Your personalized BBM Stickers§COMMUNICATION§4.3§8827§Varies with device§1,000,000+§Free§0§Everyone§Communication§May 22, 2018§1.0.2§4.0.3 and up
Dormi - Baby Monitor§PARENTING§4.3§11760§Varies with device§1,000,000+§Free§0§Everyone§Parenting§June 22, 2018§Varies with device§Varies with device
BN Pro RobotoXL HD Text§LIBRARIES_AND_DEMO§4.3§15§460k§1,000+§Free§0§Everyone§Libraries & Demo§February 5, 2017§2.3.2§1.6 and up
